73,Poquito Mas ,2635 W. Olive Ave. Burbank ,818-563-2252, Mexican
74,R-,23 923 E. Third St. Los Angeles ,213-687-7178, Japanese
75,Rae's ,2901 Pico Blvd. Santa Monica ,310-828-7937, Diners
76,Rex Il Ristorante ,617 S. Olive St. Los Angeles ,213-627-2300, Nuova Cucina Italian
77,Rubin's Red Hots ,15322 Ventura Blvd. Encino ,818-905-6515, Hot Dogs
78,Ruby's (LA) ,45 S. Fair Oaks Ave. Pasadena,818-796-7829, Diners
79,Russell's Burgers ,1198 PCH Seal Beach ,310-596-9556, Hamburgers
80,Ruth's Chris Steak House (Los Angeles) ,224 S. Beverly Dr. Beverly Hills,310-859-8744, Steakhouses
81,Shiro ,1505 Mission St. S. Pasadena ,818-799-4774, Pacific New Wave
82,Spago (Los Angeles) ,8795 Sunset Blvd. W. Hollywood,310-652-4025, Californian
83,Sushi Nozawa ,11288 Ventura Blvd. Studio City ,818-508-7017, Japanese
84,Sweet Lady Jane ,8360 Melrose Ave. LA ,213-653-7145, Desserts
85,Taiko ,11677 San Vicente Blvd. Brentwood ,310-207-7782, Noodle Shops
86,Tommy's ,2575 Beverly Blvd. LA ,213-389-9060, Hamburgers
87,Uncle Bill's Pancake House ,1305 Highland Ave. Manhattan Beach ,310-545-5177, Diners
88,Valentino ,3115 Pico Blvd. Santa Monica ,310-829-4313, Italian
89,Water Grill ,544 S. Grand Ave. Los Angeles ,213-891-0900, Seafood
90,Yujean Kang's ,67 N. Raymond Ave. Pasadena ,818-585-0855, Chinese
91,Zankou Chicken ,1415 E. Colorado St. Glendale ,818-244-1937, Middle Eastern
92,21 Club,21 W. 52nd St. New York City,212-582-7200, American (New)
93,Afghan Kebab House ,764 Ninth Ave. New York City ,212-307-1612, Afghan
94,Aquavit ,13 W. 54th St. New York City ,212-307-7311, Scandinavian
95,Arcadia ,21 E. 62nd St. New York City ,212-223-2900, American (New)
96,Aureole ,34 E. 61st St. New York City ,212-319-1660, American (New)
97,Benny's Burritos ,93 Ave. A New York City ,212-254-2054, Mexican
98,Cafe Con Leche ,424 Amsterdam Ave. New York City ,212-595-7000, Cuban
99,Cafe Lalo ,201 W. 83rd St. New York City ,212-496-6031, Coffeehouses
100,Cafe des Artistes ,1 W. 67th St. New York City ,212-877-3500, French (Classic)
101,Carmine's ,2450 Broadway New York City ,212-362-2200, Italian
102,Carnegie Deli ,854 Seventh Ave. New York City ,212-757-2245, Delis
103,Chanterelle ,2 Harrison St. New York City ,212-966-6960, French (New)
104,Corner Bistro ,331 W. Fourth St. New York City ,212-242-9502, Hamburgers
105,Cucina della Fontana ,368 Bleecker St. New York City ,212-242-0636, Italian
106,Cucina di Pesce ,87 E. Fourth St. New York City ,212-260-6800, Seafood
107,Daniel ,20 E. 76th St. New York City ,212-288-0033, French (New)
108,Darbar ,44 W. 56th St. New York City ,212-432-7227, Indian
109,Dawat ,210 E. 58th St. New York City ,212-355-7555, Indian
110,EJ's Luncheonette ,432 Sixth Ave. New York City ,212-473-5555, Diners
111,Edison Cafe ,228 W. 47th St. New York City ,212-840-5000, Diners
112,Elias Corner ,24-02 31st St. Queens ,718-932-1510, Greek
113,Felidia ,243 E. 58th St. New York City ,212-758-1479, Italian
114,Four Seasons ,99 E. 52nd St. New York City ,212-754-9494, American (New)
115,Good Enough to Eat ,483 Amsterdam Ave. New York City ,212-496-0163, American
116,Gotham Bar & Grill ,12 E. 12th St. New York City ,212-620-4020, American (New)
117,Gramercy Tavern ,42 E. 20th St. New York City ,212-477-0777, American (New)
118,Gray's Papaya ,2090 Broadway New York City ,212-799-0243, Hot Dogs
119,Il Mulino ,86 W. Third St. New York City ,212-673-3783, Italian
120,Island Spice ,402 W. 44th St. New York City ,212-765-1737, Caribbean
121,Jackson Diner ,37-03 74th St. Queens ,718-672-1232, Indian
122,Jo Jo ,160 E. 64th St. New York City ,212-223-5656, French Bistro
123,Joe's Shanghai ,9 Pell St. Queens ,718-539-3838, Chinese
124,John's Pizzeria ,48 W. 65th St. New York City ,212-721-7001, Pizza
125,Kelley & Ping ,127 Greene St. New York City ,212-228-1212, Pan-Asian
126,Kiev ,117 Second Ave. New York City ,212-674-4040, Ukrainian
127,Kuruma Zushi ,2nd fl. New York City ,212-317-2802, Japanese
128,La Caravelle ,33 W. 55th St. New York City ,212-586-4252, French (Classic)
129,La Caridad ,2199 Broadway New York City ,212-874-2780, Cuban
130,La Cote Basque ,60 W. 55th St. New York City ,212-688-6525, French (Classic)
131,La Grenouille ,3 E. 52nd St. New York City ,212-752-1495, French (Classic)
132,Le Bernardin ,155 W. 51st St. New York City ,212-489-1515, Seafood
133,Lemongrass Grill ,61A Seventh Ave. Brooklyn ,718-399-7100, Thai
134,Les Celebrites ,155 W. 58th St. New York City ,212-484-5113, French (Classic)
135,Lespinasse (New York City) , 2 E. 55th St. New York City,212-339-6719, Asian
136,Lombardi's ,32 Spring St. New York City ,212-941-7994, Pizza
137,Lutece ,249 E. 50th St. New York City ,212-752-2225, French (Classic)
138,Manhattan Ocean Club ,57 W. 58th St. New York City ,212-371-7777, Seafood
139,March ,405 E. 58th St. New York City ,212-754-6272, American (New)
140,Marnie's Noodle Shop ,466 Hudson St. New York City ,212-741-3214, Asian
141,Menchanko-tei ,39 W. 55th St. New York City ,212-247-1585, Japanese
142,Mesa Grill ,102 Fifth Ave. New York City ,212-807-7400, Southwestern
143,Mi Cocina ,57 Jane St. New York City ,212-627-8273, Mexican
144,Mitali East-West ,296 Bleecker St. New York City ,212-989-1367, Indian
145,Monsoon (NY) ,435 Amsterdam Ave. New York City,212-580-8686, Thai
146,Montrachet ,239 W. Broadway New York City ,212-219-2777, French Bistro
147,Moustache ,405 Atlantic Ave. Brooklyn ,718-852-5555, Middle Eastern
148,Nobu ,105 Hudson St. New York City ,212-219-0500, Japanese
149,Oceana ,55 E. 54th St. New York City ,212-759-5941, Seafood
150,One if by Land  TIBS ,17 Barrow St. New York City ,212-228-0822, Continental
151,Oyster Bar lower level New York City , ,212-490-6650, Seafood
152,Palm ,837 Second Ave. New York City ,212-687-2953, Steakhouses
153,Palm Too ,840 Second Ave. New York City ,212-697-5198, Steakhouses
154,Park Avenue Cafe (New York City) ,100 E. 63rd St. New York City,212-644-1900, American (New)
155,Patsy's Pizza ,19 Old Fulton St. Brooklyn ,718-858-4300, Pizza
156,Peter Luger Steak House ,178 Broadway Brooklyn ,718-387-7400, Steakhouses
157,Petrossian ,182 W. 58th St. New York City ,212-245-2214, Russian
158,Picholine ,35 W. 64th St. New York City ,212-724-8585, Mediterranean
159,Pisces ,95 Ave. A New York City ,212-260-6660, Seafood
160,Rainbow Room ,30 Rockefeller Plaza New York City ,212-632-5000, American (New)
161,River Cafe ,1 Water St. Brooklyn ,718-522-5200, American (New)
162,Rose of India ,308 E. Sixth St. New York City ,212-533-5011, Indian
163,Sam's Noodle Shop ,411 Third Ave. New York City ,212-213-2288, Chinese
164,San Domenico ,240 Central Park S. New York City ,212-265-5959, Italian
165,Sarabeth's ,1295 Madison Ave. New York City ,212-410-7335, American
166,Second Avenue Deli ,156 Second Ave. New York City ,212-677-0606, Delis
167,Seryna ,11 E. 53rd St. New York City ,212-980-9393, Japanese
168,Shun Lee Palace ,155 E. 55th St. New York City ,212-371-8844, Chinese
169,Sign of the Dove ,1110 Third Ave. New York City ,212-861-8080, American (New)
170,Smith & Wollensky ,797 Third Ave. New York City ,212-753-1530, Steakhouses
171,Sparks Steak House ,210 E. 46th St. New York City ,212-687-4855, Steakhouses
172,Stick To Your Ribs ,5-16 51st Ave. Queens ,718-937-3030, BBQ
173,Sushisay ,38 E. 51st St. New York City ,212-755-1780, Japanese
174,Sylvia's ,328 Lenox Ave. New York City ,212-996-0660, Southern/Soul
175,Szechuan Hunan Cottage ,1588 York Ave. New York City ,212-535-5223, Chinese
176,Szechuan Kitchen ,1460 First Ave. New York City ,212-249-4615, Chinese
177,Tavern on the Green Central Park West New York City , ,212-873-3200, American (New)
178,Teresa's ,80 Montague St. Queens ,718-520-2910, Polish
179,Thai House Cafe ,151 Hudson St. New York City ,212-334-1085, Thai
180,Thailand Restaurant ,106 Bayard St. New York City ,212-349-3132, Thai
181,Uncle Nick's ,747 Ninth Ave. New York City ,212-245-7992, Greek
182,Union Square Cafe ,21 E. 16th St. New York City ,212-243-4020, American (New)
183,Veselka ,144 Second Ave. New York City ,212-228-9682, Ukrainian
184,Virgil's Real BBQ ,152 W. 44th St. New York City ,212-921-9494, BBQ
185,Westside Cottage ,689 Ninth Ave. New York City ,212-245-0800, Chinese
186,Windows on the World ,107th fl. New York City ,212-524-7000, Eclectic
187,Wollensky's Grill ,205 E. 49th St. New York City ,212-753-0444, Steakhouses
188,Yama ,122 E. 17th St. New York City ,212-475-0969, Japanese
189,Zarela ,953 Second Ave. New York City ,212-644-6740, Mexican
190,Andre's French Restaurant ,401 S. 6th St. Las Vegas ,702-385-5016, French (Classic)
191,Buccaneer Bay Club ,3300 Las Vegas Blvd. S. Las Vegas ,702-894-7350, Continental
192,Buzio's in the Rio ,3700 W. Flamingo Rd. Las Vegas ,702-252-7697, Seafood
193,Chin's ,3200 Las Vegas Blvd. S. Las Vegas ,702-733-8899, Chinese
194,Coyote Cafe (Las Vegas) , 3799 Las Vegas Blvd. S. Las Vegas,702-891-7349, Southwestern
195,Emeril's New Orleans Fish House ,3799 Las Vegas Blvd. S. Las Vegas ,702-891-7374, Seafood
196,Fiore Rotisserie & Grille ,3700 W. Flamingo Rd. Las Vegas ,702-252-7702, Italian
197,Hugo's Cellar ,202 E. Fremont St. Las Vegas ,702-385-4011, Continental
198,Le Montrachet Bistro ,3000 Paradise Rd. Las Vegas ,702-732-5651, French Bistro
199,Madame Ching's ,3300 Las Vegas Blvd. S. Las Vegas ,702-894-7111, Asian
200,Mayflower Cuisinier ,4750 W. Sahara Ave. Las Vegas ,702-870-8432, Chinese
201,Michael's (Las Vegas) , 3595 Las Vegas Blvd. S. Las Vegas,702-737-7111, Continental
202,Monte Carlo ,3145 Las Vegas Blvd. S. Las Vegas ,702-733-4524, French (New)
203,Moongate ,3400 Las Vegas Blvd. S. Las Vegas ,702-791-7352, Chinese
204,Morton's of Chicago (Las Vegas) , 3200 Las Vegas Blvd. S. Las Vegas,702-893-0703, Steakhouses
205,Nicky Blair's ,3925 Paradise Rd. Las Vegas ,702-792-9900, Italian
206,Palace Court ,3570 Las Vegas Blvd. S. Las Vegas ,702-731-7110, French (New)
207,Piero's Restaurant ,355 Convention Center Dr. Las Vegas ,702-369-2305, Italian
208,Second Street Grill ,200 E. Fremont St. Las Vegas ,702-385-6277, Pacific Rim
209,Spago (Las Vegas) , 3500 Las Vegas Blvd. S. Las Vegas,702-369-6300, Californian
210,Steak House  The ,2880 Las Vegas Blvd. S. Las Vegas ,702-734-0410, Steakhouses
211,Steakhouse  The ,128 E. Fremont St. Las Vegas ,702-382-1600, Steakhouses
212,Stefano's ,129 Fremont St. Las Vegas ,702-385-7111, Italian
213,Sterling Brunch ,3645 Las Vegas Blvd. S. Las Vegas ,702-739-4651, Eclectic
214,Tillerman  The ,2245 E. Flamingo Rd. Las Vegas ,702-731-4036, Steakhouses
215,Tre Visi ,3799 Las Vegas Blvd. S. Las Vegas ,702-891-7331, Italian
216,103 West,103 W. Paces Ferry Rd. Atlanta,404-233-5993, Continental
217,Abruzzi ,2355 Peachtree Rd. NE Atlanta ,404-261-8186, Italian
218,Alon's at the Terrace ,659 Peachtree St. Atlanta ,404-724-0444, Sandwiches
219,Bacchanalia ,3125 Piedmont Rd. Atlanta ,404-365-0410, Californian
220,Baker's Cajun Cafe ,1134 Euclid Ave. Atlanta ,404-223-5039, Cajun/Creole
221,Barbecue Kitchen ,1437 Virginia Ave. Atlanta ,404-766-9906, BBQ
222,Bistro  The ,56 E. Andrews Dr. NW Atlanta ,404-231-5733, French Bistro
223,Bobby & June's Kountry Kitchen ,375 14th St. Atlanta ,404-876-3872, Southern/Soul
224,Bone's Restaurant ,3130 Piedmont Rd. NE Atlanta ,404-237-2663, Steakhouses
225,Bradshaw's Restaurant ,2911 S. Pharr Court Atlanta ,404-261-7015, Southern/Soul
226,Brasserie Le Coze ,3393 Peachtree Rd. Atlanta ,404-266-1440, French Bistro
227,Brookhaven Cafe ,4274 Peachtree Rd. Atlanta ,404-231-5907, Vegetarian
228,Buckhead Diner ,3073 Piedmont Rd. Atlanta ,404-262-3336, American (New)
229,Cafe Sunflower ,5975 Roswell Rd. Atlanta ,404-256-1675, Health Food
230,Canoe ,4199 Paces Ferry Rd. Atlanta ,770-432-2663, American (New)
231,Carey's ,1021 Cobb Pkwy. SE Marietta ,770-422-8042, Hamburgers
232,Carey's Corner ,1215 Powers Ferry Rd. Marietta ,770-933-0909, Hamburgers
233,Chops ,70 W. Paces Ferry Rd. Atlanta ,404-262-2675, Steakhouses
234,Chopstix ,4279 Roswell Rd. Atlanta ,404-255-4868, Chinese
235,Ciboulette Restaurant ,1529 Piedmont Ave. Atlanta ,404-874-7600, French (New)
236,Deacon Burton's Soulfood Restaurant ,1029 Edgewood Ave. SE Atlanta,404-523-1929, Southern/Soul
237,Delectables ,1 Margaret Mitchell Sq. Atlanta ,404-681-2909, Cafeterias
238,Eats ,600 Ponce de Leon Ave. Atlanta ,404-888-9149, Italian
239,Flying Biscuit  The ,1655 McLendon Ave. Atlanta ,404-687-8888, Eclectic
240,Frijoleros ,1031 Peachtree St. NE Atlanta ,404-892-8226, Tex-Mex
241,Georgia Grille ,2290 Peachtree Rd. Atlanta ,404-352-3517, Southwestern
242,Greenwood's ,1087 Green St. Roswell ,770-992-5383, Southern/Soul
243,Harold's Barbecue ,171 McDonough Blvd. Atlanta ,404-627-9268, BBQ
244,Havana Sandwich Shop ,2905 Buford Hwy. Atlanta ,404-636-4094, Cuban
245,Hedgerose Heights Inn  The ,490 E. Paces Ferry Rd. NE Atlanta ,404-233-7673,Continental
246,Heera of India ,595 Piedmont Ave. Atlanta ,404-876-4408, Indian
247,House of Chan ,2469 Cobb Pkwy. Smyrna ,770-955-9444, Chinese
248,Indian Delights ,3675 Satellite Blvd. Duluth ,100-813-8212, Indian
249,Indigo Coastal Grill ,1397 N. Highland Ave. Atlanta ,404-876-0676, Eclectic
250,Java Jive ,790 Ponce de Leon Ave. Atlanta ,404-876-6161, Coffee Shops
251,Johnny Rockets (AT) , 2970 Cobb Pkwy. Atlanta,770-955-6068, American
252,Kalo's Coffee House ,1248 Clairmont Rd. Decatur ,404-325-3733, Coffeehouses
253,La Fonda Latina ,4427 Roswell Rd. Atlanta ,404-303-8201, Spanish
254,La Grotta ,2637 Peachtree Rd. NE Atlanta ,404-231-1368, Italian
255,Lettuce Souprise You (AT) ,3525 Mall Blvd. Duluth,770-418-9969, Cafeterias
256,Majestic ,1031 Ponce de Leon Ave. Atlanta ,404-875-0276, Diners
257,Mary Mac's Tea Room ,224 Ponce de Leon Ave. Atlanta ,404-876-1800, Southern/Soul
258,Morton's of Chicago (Atlanta) , 303 Peachtree St. NE Atlanta,404-577-4366, Steakhouses
259,My Thai ,1248 Clairmont Rd. Atlanta ,404-636-4280, Thai
260,Nava ,3060 Peachtree Rd. Atlanta ,404-240-1984, Southwestern
261,Nikolai's Roof ,255 Courtland St. Atlanta ,404-221-6362, Continental
262,Nuevo Laredo Cantina ,1495 Chattahoochee Ave. NW Atlanta ,404-352-9009, Mexican
263,Original Pancake House (AT) , 4330 Peachtree Rd. Atlanta,404-237-4116, American
264,Palm  The (Atlanta) , 3391 Peachtree Rd. NE Atlanta,404-814-1955, Steakhouses
265,Pano's & Paul's ,1232 W. Paces Ferry Rd. Atlanta ,404-261-3662, American (New)
266,Rainbow Restaurant ,2118 N. Decatur Rd. Decatur ,404-633-3538, Vegetarian
267,Ritz-Carlton Cafe (Atlanta) ,181 Peachtree St. Atlanta,404-659-0400, American (New)
268,Ritz-Carlton Cafe (Buckhead) ,3434 Peachtree Rd. NE Atlanta,404-237-2700, American (New)
269,Ritz-Carlton Dining Room (Buckhead) ,3434 Peachtree Rd. NE Atlanta,404-237-2700, American (New)
270,Ritz-Carlton Restaurant ,181 Peachtree St. Atlanta ,404-659-0400, French (Classic)
271,Riviera ,519 E. Paces Ferry Rd. Atlanta ,404-262-7112, Mediterranean
272,Silver Skillet  The ,200 14th St. NW Atlanta ,404-874-1388, Coffee Shops
273,Soto ,3330 Piedmont Rd. Atlanta ,404-233-2005, Japanese
274,Thelma's Kitchen ,764 Marietta St. NW Atlanta ,404-688-5855, Cafeterias
275,Tortillas ,774 Ponce de Leon Ave. NE Atlanta ,404-892-0193, Tex-Mex
276,Toulouse ,293-B Peachtree Rd. Atlanta ,404-351-9533, French (New)
277,Van Gogh's Restaurant & Bar ,70 W. Crossville Rd. Roswell ,770-993-1156, American (New)
278,Veggieland ,220 Sandy Springs Circle Atlanta ,404-231-3111, Vegetarian
279,Veni Vidi Vici ,41 14th St. Atlanta ,404-875-8424, Italian
280,White House Restaurant ,3172 Peachtree Rd. NE Atlanta ,404-237-7601, Diners
281,Zab-E-Lee ,4837 Old National Hwy. College Park ,404-768-2705, Thai
282,Alain Rondelli ,126 Clement St. San Francisco ,415-387-0408, French (New)
283,Aqua ,252 California St. San Francisco ,415-956-9662, American (New)
284,Bill's Place ,2315 Clement St. San Francisco ,415-221-5262, Hamburgers
285,Boulevard ,1 Mission St. San Francisco ,415-543-6084, American (New)
286,Cafe Claude ,7 Claude Ln. San Francisco ,415-392-3505, French Bistro
287,Cafe Flore ,2298 Market St. San Francisco ,415-621-8579, Californian
288,Caffe Greco ,423 Columbus Ave. San Francisco ,415-397-6261, Continental
289,Campo Santo ,240 Columbus Ave. San Francisco ,415-433-9623, Mexican
290,Campton Place ,340 Stockton St. San Francisco ,415-955-5555, American (New)
291,Cha Cha Cha's ,1805 Haight St. San Francisco ,415-386-5758, Caribbean
292,Chez Michel ,804 North Point St. San Francisco ,415-775-7036, Californian
293,Doidge's ,2217 Union St. San Francisco ,415-921-2149, American
294,Dottie's True Blue Cafe ,522 Jones St. San Francisco ,415-885-2767, Diners
295,Dusit Thai ,3221 Mission St. San Francisco ,415-826-4639, Thai
296,Ebisu ,1283 Ninth Ave. San Francisco ,415-566-1770, Japanese
297,Emerald Garden Restaurant ,1550 California St. San Francisco ,415-673-1155, Vietnamese
298,Eric's Chinese Restaurant ,1500 Church St. San Francisco ,415-282-0919, Chinese
299,Fleur de Lys ,777 Sutter St. San Francisco ,415-673-7779, French (New)
300,Fringale ,570 Fourth St. San Francisco ,415-543-0573, French Bistro
301,Hamburger Mary's ,1582 Folsom St. San Francisco ,415-626-1985, Hamburgers
302,Hawthorne Lane ,22 Hawthorne St. San Francisco ,415-777-9779, Californian
303,Kelly's on Trinity ,333 Bush St. San Francisco ,415-362-4454, Californian
304,Khan Toke Thai House ,5937 Geary Blvd. San Francisco ,415-668-6654, Thai
305,La Cumbre ,515 Valencia St. San Francisco ,415-863-8205, Mexican
306,La Folie ,2316 Polk St. San Francisco ,415-776-5577, French (New)
307,La Mediterranee ,288 Noe St. San Francisco ,415-431-7210, Mediterranean
308,La Taqueria ,2889 Mission St. San Francisco ,415-285-7117, Mexican
309,LuLu Restaurant-Bis-Cafe ,816 Folsom St. San Francisco ,415-495-5775, Mediterranean
310,Mario's Bohemian Cigar Store Cafe ,2209 Polk St. San Francisco ,415-776-8226, Italian
311,Marnee Thai ,2225 Irving St. San Francisco ,415-665-9500, Thai
312,Masa's ,648 Bush St. San Francisco ,415-989-7154, French (New)
313,Mel's Drive-In ,3355 Geary St. San Francisco ,415-387-2244, Hamburgers
314,Mifune ,1737 Post St. San Francisco ,415-922-0337, Japanese
315,Mo's Burgers ,1322 Grant St. San Francisco ,415-788-3779, Hamburgers
316,Phnom Penh Cambodian Restaurant ,631 Larkin St. San Francisco ,415-775-5979, Cambodian
317,PlumpJack Cafe ,3127 Fillmore St. San Francisco ,415-563-4755, American (New)
318,Postrio ,545 Post St. San Francisco ,415-776-7825, Californian
319,Ritz-Carlton Dining Room (San Francisco) ,600 Stockton St. San Francisco,415-296-7465, French (New)
320,Roosevelt Tamale Parlor ,2817 24th St. San Francisco ,415-550-9213, Mexican
321,Rose Pistola ,532 Columbus Ave. San Francisco ,415-399-0499, Italian
322,Sally's Cafe & Bakery ,300 De Haro St. San Francisco ,415-626-6006, American
323,San Francisco BBQ ,1328 18th St. San Francisco ,415-431-8956, Thai
324,Slanted Door ,584 Valencia St. San Francisco ,415-861-8032, Vietnamese
325,Swan Oyster Depot ,1517 Polk St. San Francisco ,415-673-1101, Seafood
326,Thep Phanom ,400 Waller St. San Francisco ,415-431-2526, Thai
327,Ti Couz ,3108 16th St. San Francisco ,415-252-7373, French
328,Trio Cafe ,1870 Fillmore St. San Francisco ,415-563-2248, American
329,Tu Lan ,8 Sixth St. San Francisco ,415-626-0927, Vietnamese
330,Vicolo Pizzeria ,201 Ivy St. San Francisco ,415-863-2382, Pizza
331,Wa-Ha-Ka Oaxaca Mexican Grill ,2141 Polk St. San Francisco ,415-775-1055, Mexican
